episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,policy_reward_mean,custom_metrics,sampler_perf,off_policy_estimator,num_metric_batches_dropped,info,timesteps_this_iter,evaluation,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,disc_loss,disc_acc,disc_updates,disc_samples_seen
nan,nan,nan,nan,0,{},{},{},{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 500, 'num_reward_updates': 0, 'num_steps_trained': 0, 'num_steps_sampled': 500, 'sample_time_ms': 1.587, 'replay_time_ms': nan, 'grad_time_ms': nan, 'update_time_ms': 0.001, 'opt_peak_throughput': 0.0, 'opt_samples': nan, 'learner': {}}",500,"{'episode_reward_max': -68.5113114773643, 'episode_reward_min': -89.64539439318511, 'episode_reward_mean': -83.48908837287188, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.21209214737553345, 'mean_processing_ms': 0.0919806767721055, 'mean_inference_ms': 0.6007546961826035}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,500,0,1,f1f8240fabf342d7b990a2a2f95fd9aa,2019-05-02_17-36-58,1556843818,6.273258209228516,6.273258209228516,4406,perceptron,169.229.222.188,6.273258209228516,500,1,0,6.778225,0.98046875,100,51200
-237.3792079826797,-237.3792079826797,-237.3792079826797,1000.0,0,{},{},"{'mean_env_wait_ms': 0.23504808827951834, 'mean_processing_ms': 0.34062083546336475, 'mean_inference_ms': 0.7187167366782388}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 1500, 'num_reward_updates': 0, 'num_steps_trained': 0, 'num_steps_sampled': 1500, 'sample_time_ms': 1.273, 'replay_time_ms': nan, 'grad_time_ms': nan, 'update_time_ms': 0.001, 'opt_peak_throughput': 0.0, 'opt_samples': nan, 'learner': {}}",500,"{'episode_reward_max': -73.32506926833399, 'episode_reward_min': -90.02187472518631, 'episode_reward_mean': -81.88428214301356, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.21300030727321628, 'mean_processing_ms': 0.09229969766948805, 'mean_inference_ms': 0.6014644984411928}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,1500,1,3,f1f8240fabf342d7b990a2a2f95fd9aa,2019-05-02_17-37-10,1556843830,5.9164299964904785,13.378556966781616,4406,perceptron,169.229.222.188,13.378556966781616,1500,3,0,1.1960384,0.984375,300,153600
-214.42470278854756,-237.3792079826797,-225.90195538561363,1000.0,0,{},{},"{'mean_env_wait_ms': 0.23721916665220288, 'mean_processing_ms': 0.3395037870695049, 'mean_inference_ms': 0.7176702755035181}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 2500, 'num_reward_updates': 0, 'num_steps_trained': 0, 'num_steps_sampled': 2500, 'sample_time_ms': 1.507, 'replay_time_ms': nan, 'grad_time_ms': nan, 'update_time_ms': 0.001, 'opt_peak_throughput': 0.0, 'opt_samples': nan, 'learner': {}}",500,"{'episode_reward_max': -59.887818392287016, 'episode_reward_min': -97.4006897641783, 'episode_reward_mean': -82.7927872578302, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.210173695893605, 'mean_processing_ms': 0.0915327558969952, 'mean_inference_ms': 0.5947263662436385}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,2500,2,5,f1f8240fabf342d7b990a2a2f95fd9aa,2019-05-02_17-37-21,1556843841,5.580051422119141,20.22183632850647,4406,perceptron,169.229.222.188,20.22183632850647,2500,5,0,0.37380904,0.984375,500,256000
-214.42470278854756,-300.10715830732335,-250.63702302618353,1000.0,0,{},{},"{'mean_env_wait_ms': 0.23801569952947144, 'mean_processing_ms': 0.338280888617201, 'mean_inference_ms': 0.7161163825073414}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 3500, 'num_reward_updates': 0, 'num_steps_trained': 0, 'num_steps_sampled': 3500, 'sample_time_ms': 1.57, 'replay_time_ms': nan, 'grad_time_ms': nan, 'update_time_ms': 0.002, 'opt_peak_throughput': 0.0, 'opt_samples': nan, 'learner': {}}",500,"{'episode_reward_max': -78.9511275660945, 'episode_reward_min': -93.85657738166462, 'episode_reward_mean': -87.88527656484902, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.20951099631490813, 'mean_processing_ms': 0.09106100141980648, 'mean_inference_ms': 0.593203896737319}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,3500,3,7,f1f8240fabf342d7b990a2a2f95fd9aa,2019-05-02_17-37-33,1556843853,5.787450551986694,27.34440851211548,4406,perceptron,169.229.222.188,27.34440851211548,3500,7,0,0.30354878,0.9863281,700,358400
-214.42470278854756,-332.8907819612615,-271.200462759953,1000.0,0,{},{},"{'mean_env_wait_ms': 0.23837085274619302, 'mean_processing_ms': 0.3376168295619804, 'mean_inference_ms': 0.7150047232528431}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 4500, 'num_reward_updates': 0, 'num_steps_trained': 0, 'num_steps_sampled': 4500, 'sample_time_ms': 2.146, 'replay_time_ms': nan, 'grad_time_ms': nan, 'update_time_ms': 0.002, 'opt_peak_throughput': 0.0, 'opt_samples': nan, 'learner': {}}",500,"{'episode_reward_max': -52.98875166409052, 'episode_reward_min': -89.15469383796358, 'episode_reward_mean': -75.67014314877947, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.20920483693532646, 'mean_processing_ms': 0.09093902567291946, 'mean_inference_ms': 0.5921209451735113}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,4500,4,9,f1f8240fabf342d7b990a2a2f95fd9aa,2019-05-02_17-37-44,1556843864,5.757916450500488,34.33161687850952,4406,perceptron,169.229.222.188,34.33161687850952,4500,9,0,0.2696199,0.9824219,900,460800
-214.42470278854756,-372.2671514384454,-291.41380049565146,1000.0,0,{},{},"{'mean_env_wait_ms': 0.23882757230006174, 'mean_processing_ms': 0.3373081090994006, 'mean_inference_ms': 0.7143347503504298}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 5500, 'num_reward_updates': 0, 'num_steps_trained': 0, 'num_steps_sampled': 5500, 'sample_time_ms': 1.29, 'replay_time_ms': nan, 'grad_time_ms': nan, 'update_time_ms': 0.001, 'opt_peak_throughput': 0.0, 'opt_samples': nan, 'learner': {}}",500,"{'episode_reward_max': -76.99938697288269, 'episode_reward_min': -94.8838682237168, 'episode_reward_mean': -87.05334224553602, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.2079740230950154, 'mean_processing_ms': 0.09066960950643109, 'mean_inference_ms': 0.5895276024819701}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,5500,5,11,f1f8240fabf342d7b990a2a2f95fd9aa,2019-05-02_17-37-55,1556843875,5.530476331710815,41.15261459350586,4406,perceptron,169.229.222.188,41.15261459350586,5500,11,0,0.2302477,0.9921875,1100,563200
-214.42470278854756,-372.2671514384454,-302.05609351684274,1000.0,0,{},{},"{'mean_env_wait_ms': 0.23829337611661003, 'mean_processing_ms': 0.33593471399088654, 'mean_inference_ms': 0.7120420706410382}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 6500, 'num_reward_updates': 0, 'num_steps_trained': 0, 'num_steps_sampled': 6500, 'sample_time_ms': 2.385, 'replay_time_ms': nan, 'grad_time_ms': nan, 'update_time_ms': 0.002, 'opt_peak_throughput': 0.0, 'opt_samples': nan, 'learner': {}}",500,"{'episode_reward_max': -63.87218606490129, 'episode_reward_min': -97.4045926025764, 'episode_reward_mean': -81.64169261622195, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.2093838559416264, 'mean_processing_ms': 0.09107870452538308, 'mean_inference_ms': 0.5925349398155916}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,6500,6,13,f1f8240fabf342d7b990a2a2f95fd9aa,2019-05-02_17-38-07,1556843887,6.009190797805786,48.328715562820435,4406,perceptron,169.229.222.188,48.328715562820435,6500,13,0,0.23046389,0.9765625,1300,665600
-214.42470278854756,-372.2671514384454,-302.29922543837273,1000.0,0,{},{},"{'mean_env_wait_ms': 0.23815521769379225, 'mean_processing_ms': 0.33519826531122066, 'mean_inference_ms': 0.7108732622881}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 7500, 'num_reward_updates': 0, 'num_steps_trained': 0, 'num_steps_sampled': 7500, 'sample_time_ms': 1.318, 'replay_time_ms': nan, 'grad_time_ms': nan, 'update_time_ms': 0.001, 'opt_peak_throughput': 0.0, 'opt_samples': nan, 'learner': {}}",500,"{'episode_reward_max': -69.66567552418512, 'episode_reward_min': -94.97662468994758, 'episode_reward_mean': -83.58319342873729, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.21070551997817746, 'mean_processing_ms': 0.0914918489210982, 'mean_inference_ms': 0.5971589529981338}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,7500,7,15,f1f8240fabf342d7b990a2a2f95fd9aa,2019-05-02_17-38-19,1556843899,5.962404727935791,55.56880569458008,4406,perceptron,169.229.222.188,55.56880569458008,7500,15,0,0.2320619,0.98046875,1500,768000
-137.91459310643359,-372.2671514384454,-281.75114639688036,1000.0,0,{},{},"{'mean_env_wait_ms': 0.23806918559311674, 'mean_processing_ms': 0.3346396633217881, 'mean_inference_ms': 0.7101062271718295}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 8500, 'num_reward_updates': 0, 'num_steps_trained': 0, 'num_steps_sampled': 8500, 'sample_time_ms': 1.343, 'replay_time_ms': nan, 'grad_time_ms': nan, 'update_time_ms': 0.001, 'opt_peak_throughput': 0.0, 'opt_samples': nan, 'learner': {}}",500,"{'episode_reward_max': -54.27996713789966, 'episode_reward_min': -92.02578552717489, 'episode_reward_mean': -74.13718330119468, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.20937128941137, 'mean_processing_ms': 0.09095399623532188, 'mean_inference_ms': 0.5938880970610568}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,8500,8,17,f1f8240fabf342d7b990a2a2f95fd9aa,2019-05-02_17-38-30,1556843910,5.428457975387573,62.387301445007324,4406,perceptron,169.229.222.188,62.387301445007324,8500,17,0,0.20874308,0.9824219,1700,870400
-137.91459310643359,-372.2671514384454,-270.0059057496943,1000.0,0,{},{},"{'mean_env_wait_ms': 0.23771433640140835, 'mean_processing_ms': 0.3337292530897563, 'mean_inference_ms': 0.7088193251446712}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 9500, 'num_reward_updates': 0, 'num_steps_trained': 0, 'num_steps_sampled': 9500, 'sample_time_ms': 1.299, 'replay_time_ms': nan, 'grad_time_ms': nan, 'update_time_ms': 0.001, 'opt_peak_throughput': 0.0, 'opt_samples': nan, 'learner': {}}",500,"{'episode_reward_max': -63.66658274953949, 'episode_reward_min': -97.28739042746467, 'episode_reward_mean': -75.25614661309008, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.20996903214042234, 'mean_processing_ms': 0.09108542078215544, 'mean_inference_ms': 0.5950472103080126}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,9500,9,19,f1f8240fabf342d7b990a2a2f95fd9aa,2019-05-02_17-38-41,1556843921,5.764028310775757,69.34678530693054,4406,perceptron,169.229.222.188,69.34678530693054,9500,19,0,0.22358547,0.9765625,1900,972800
