episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,policy_reward_mean,custom_metrics,sampler_perf,off_policy_estimator,num_metric_batches_dropped,info,timesteps_this_iter,evaluation,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,disc_loss,disc_acc,disc_updates,disc_samples_seen
-121.17620456229407,-555.2554517935678,-532.382994755867,1000.0,296,{},{},"{'mean_env_wait_ms': 0.2818909144097726, 'mean_processing_ms': 0.14229249104789643, 'mean_inference_ms': 0.7277466032201063}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 0, 'num_reward_updates': 132, 'num_steps_trained': 1009664, 'num_steps_sampled': 303620, 'sample_throughput': 10251.555, 'train_throughput': 0.0, 'num_weight_syncs': 751, 'num_samples_dropped': 8, 'learner_queue': {'size_count': 3944, 'size_mean': 0.0, 'size_std': 0.0, 'size_quantiles': [0.0, 0.0, 0.0, 0.0, 0.0]}, 'replay_shard_0': {'add_batch_time_ms': 1.086, 'replay_time_ms': 2.091, 'update_priorities_time_ms': 24.133, 'policy_default_policy': {'added_count': 76680, 'sampled_count': 971008, 'est_size_bytes': 26147880, 'num_entries': 76680}}, 'learner': {'default_policy': {'mean_q': 1.29274320602417, 'max_q': 1.4552823305130005, 'min_q': 1.0778573751449585}}}",303620,"{'episode_reward_max': -587.196109802761, 'episode_reward_min': -594.5578398419046, 'episode_reward_mean': -591.8841430111898, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.28817566165136416, 'mean_processing_ms': 0.13122252494904318, 'mean_inference_ms': 0.7847166933926114}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,303620,296,1,fa315ee69f6d4873b46dd07ce7097b63,2019-04-30_21-10-24,1556683824,39.80840086936951,39.80840086936951,57902,perceptron,169.229.222.188,39.80840086936951,303620,1,16,16.059375762939453,0.5,3396,1738752
-541.6445503243452,-555.4800119565192,-548.207308566907,1000.0,371,{},{},"{'mean_env_wait_ms': 0.28347648728527, 'mean_processing_ms': 0.14280042772389825, 'mean_inference_ms': 0.7295493618793982}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 0, 'num_reward_updates': 143, 'num_steps_trained': 1070336, 'num_steps_sampled': 675760, 'sample_throughput': 14522.27, 'train_throughput': 0.0, 'num_weight_syncs': 1681, 'num_samples_dropped': 12, 'learner_queue': {'size_count': 4181, 'size_mean': 0.02, 'size_std': 0.13999999999999999, 'size_quantiles': [0.0, 0.0, 0.0, 0.0, 1.0]}, 'replay_shard_0': {'add_batch_time_ms': 0.99, 'replay_time_ms': 5.536, 'update_priorities_time_ms': 25.163, 'policy_default_policy': {'added_count': 168760, 'sampled_count': 2120192, 'est_size_bytes': 57547160, 'num_entries': 168760}}, 'learner': {'default_policy': {'mean_q': 1.903116226196289, 'max_q': 3.024651288986206, 'min_q': 1.7743251323699951}}}",372140,"{'episode_reward_max': -587.196109802761, 'episode_reward_min': -594.5578398419046, 'episode_reward_mean': -591.8841430111898, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.28817566165136416, 'mean_processing_ms': 0.13122252494904318, 'mean_inference_ms': 0.7847166933926114}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,675760,667,2,fa315ee69f6d4873b46dd07ce7097b63,2019-04-30_21-10-55,1556683855,31.563035011291504,71.37143588066101,57902,perceptron,169.229.222.188,71.37143588066101,675760,2,16,9.754537582397461,0.943359375,6786,3474432
-542.8816223934084,-555.7998360342754,-548.5422209663021,1000.0,375,{},{},"{'mean_env_wait_ms': 0.2836901419236771, 'mean_processing_ms': 0.14257810070753413, 'mean_inference_ms': 0.7302633557581524}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 0, 'num_reward_updates': 155, 'num_steps_trained': 1131008, 'num_steps_sampled': 1048680, 'sample_throughput': 16436.367, 'train_throughput': 6574.547, 'num_weight_syncs': 2614, 'num_samples_dropped': 15, 'learner_queue': {'size_count': 4418, 'size_mean': 0.02, 'size_std': 0.13999999999999999, 'size_quantiles': [0.0, 0.0, 0.0, 0.0, 1.0]}, 'replay_shard_0': {'add_batch_time_ms': 0.993, 'replay_time_ms': 6.136, 'update_priorities_time_ms': 24.745, 'policy_default_policy': {'added_count': 262260, 'sampled_count': 3131392, 'est_size_bytes': 89430660, 'num_entries': 262260}}, 'learner': {'default_policy': {'mean_q': 2.418361186981201, 'max_q': 2.658710479736328, 'min_q': 2.326186418533325}}}",372920,"{'episode_reward_max': -587.196109802761, 'episode_reward_min': -594.5578398419046, 'episode_reward_mean': -591.8841430111898, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.28817566165136416, 'mean_processing_ms': 0.13122252494904318, 'mean_inference_ms': 0.7847166933926114}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,1048680,1042,3,fa315ee69f6d4873b46dd07ce7097b63,2019-04-30_21-11-27,1556683887,31.666014671325684,103.0374505519867,57902,perceptron,169.229.222.188,103.0374505519867,1048680,3,16,6.444690704345703,0.986328125,10099,5170688
-541.3366947650877,-560.2460151048854,-548.8246075867065,1000.0,375,{},{},"{'mean_env_wait_ms': 0.28340299819512316, 'mean_processing_ms': 0.14217047840116634, 'mean_inference_ms': 0.7283738264195854}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 0, 'num_reward_updates': 165, 'num_steps_trained': 1186304, 'num_steps_sampled': 1425180, 'sample_throughput': 9496.179, 'train_throughput': 0.0, 'num_weight_syncs': 3553, 'num_samples_dropped': 19, 'learner_queue': {'size_count': 4634, 'size_mean': 0.06, 'size_std': 0.23748684174075835, 'size_quantiles': [0.0, 0.0, 0.0, 0.0, 1.0]}, 'replay_shard_0': {'add_batch_time_ms': 0.887, 'replay_time_ms': 7.173, 'update_priorities_time_ms': 27.052, 'policy_default_policy': {'added_count': 356120, 'sampled_count': 4093952, 'est_size_bytes': 121436920, 'num_entries': 356120}}, 'learner': {'default_policy': {'mean_q': 2.794729471206665, 'max_q': 3.9256057739257812, 'min_q': 2.661958932876587}}}",376500,"{'episode_reward_max': -587.196109802761, 'episode_reward_min': -594.5578398419046, 'episode_reward_mean': -591.8841430111898, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.28817566165136416, 'mean_processing_ms': 0.13122252494904318, 'mean_inference_ms': 0.7847166933926114}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,1425180,1417,4,fa315ee69f6d4873b46dd07ce7097b63,2019-04-30_21-11-59,1556683919,32.4464430809021,135.4838936328888,57902,perceptron,169.229.222.188,135.4838936328888,1425180,4,16,4.504992961883545,0.99609375,13659,6993408
-540.74348070394,-556.3570370987818,-548.8621801740794,1000.0,376,{},{},"{'mean_env_wait_ms': 0.283667352300774, 'mean_processing_ms': 0.14224648667412876, 'mean_inference_ms': 0.7283188692490269}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 0, 'num_reward_updates': 174, 'num_steps_trained': 1233664, 'num_steps_sampled': 1799320, 'sample_throughput': 11238.488, 'train_throughput': 10275.189, 'num_weight_syncs': 4493, 'num_samples_dropped': 19, 'learner_queue': {'size_count': 4819, 'size_mean': 0.04, 'size_std': 0.19595917942265428, 'size_quantiles': [0.0, 0.0, 0.0, 0.0, 1.0]}, 'replay_shard_0': {'add_batch_time_ms': 1.44, 'replay_time_ms': 7.034, 'update_priorities_time_ms': 31.208, 'policy_default_policy': {'added_count': 449960, 'sampled_count': 5020160, 'est_size_bytes': 153436360, 'num_entries': 449960}}, 'learner': {'default_policy': {'mean_q': 2.9987893104553223, 'max_q': 4.238945007324219, 'min_q': 2.8788561820983887}}}",374140,"{'episode_reward_max': -587.196109802761, 'episode_reward_min': -594.5578398419046, 'episode_reward_mean': -591.8841430111898, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.28817566165136416, 'mean_processing_ms': 0.13122252494904318, 'mean_inference_ms': 0.7847166933926114}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,1799320,1793,5,fa315ee69f6d4873b46dd07ce7097b63,2019-04-30_21-12-32,1556683952,32.703460693359375,168.18735432624817,57902,perceptron,169.229.222.188,168.18735432624817,1799320,5,16,3.256711959838867,0.994140625,17377,8897024
-542.8301415926549,-555.8328862845058,-548.6719997101966,1000.0,371,{},{},"{'mean_env_wait_ms': 0.28382756730762365, 'mean_processing_ms': 0.14239857816989854, 'mean_inference_ms': 0.7291888336554486}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 0, 'num_reward_updates': 182, 'num_steps_trained': 1282048, 'num_steps_sampled': 2170060, 'sample_throughput': 14859.148, 'train_throughput': 0.0, 'num_weight_syncs': 5418, 'num_samples_dropped': 21, 'learner_queue': {'size_count': 5008, 'size_mean': 0.02, 'size_std': 0.13999999999999999, 'size_quantiles': [0.0, 0.0, 0.0, 0.0, 1.0]}, 'replay_shard_0': {'add_batch_time_ms': 1.01, 'replay_time_ms': 6.925, 'update_priorities_time_ms': 29.03, 'policy_default_policy': {'added_count': 542480, 'sampled_count': 5952000, 'est_size_bytes': 184985680, 'num_entries': 542480}}, 'learner': {'default_policy': {'mean_q': 3.060481548309326, 'max_q': 4.082510471343994, 'min_q': 2.9488370418548584}}}",370740,"{'episode_reward_max': -585.9759669672181, 'episode_reward_min': -589.9564529757655, 'episode_reward_mean': -588.4796864492195, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.284817336233574, 'mean_processing_ms': 0.12926446319492602, 'mean_inference_ms': 0.7778783693574888}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,2170060,2164,6,fa315ee69f6d4873b46dd07ce7097b63,2019-04-30_21-13-11,1556683991,38.78047800064087,206.96783232688904,57902,perceptron,169.229.222.188,206.96783232688904,2170060,6,16,2.361628293991089,1.0,21135,10821120
-540.6395681061559,-556.1343813300402,-548.4412803014783,1000.0,372,{},{},"{'mean_env_wait_ms': 0.28390077010487597, 'mean_processing_ms': 0.14251997554459966, 'mean_inference_ms': 0.729381398093445}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 0, 'num_reward_updates': 191, 'num_steps_trained': 1326336, 'num_steps_sampled': 2542500, 'sample_throughput': 8132.297, 'train_throughput': 0.0, 'num_weight_syncs': 6350, 'num_samples_dropped': 21, 'learner_queue': {'size_count': 5181, 'size_mean': 0.06, 'size_std': 0.23748684174075835, 'size_quantiles': [0.0, 0.0, 0.0, 0.0, 1.0]}, 'replay_shard_0': {'add_batch_time_ms': 1.054, 'replay_time_ms': 10.819, 'update_priorities_time_ms': 32.157, 'policy_default_policy': {'added_count': 635100, 'sampled_count': 6810368, 'est_size_bytes': 216569100, 'num_entries': 635100}}, 'learner': {'default_policy': {'mean_q': 3.0101568698883057, 'max_q': 5.073879241943359, 'min_q': 2.897871732711792}}}",372440,"{'episode_reward_max': -585.9759669672181, 'episode_reward_min': -589.9564529757655, 'episode_reward_mean': -588.4796864492195, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.284817336233574, 'mean_processing_ms': 0.12926446319492602, 'mean_inference_ms': 0.7778783693574888}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,2542500,2536,7,fa315ee69f6d4873b46dd07ce7097b63,2019-04-30_21-13-45,1556684025,33.59966421127319,240.56749653816223,57902,perceptron,169.229.222.188,240.56749653816223,2542500,7,16,1.6949831247329712,0.994140625,24973,12786176
-542.2704907886821,-556.1749708789305,-548.7332486693696,1000.0,374,{},{},"{'mean_env_wait_ms': 0.2839561723189609, 'mean_processing_ms': 0.14263469791883548, 'mean_inference_ms': 0.7296401318476732}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 0, 'num_reward_updates': 199, 'num_steps_trained': 1369600, 'num_steps_sampled': 2914920, 'sample_throughput': 13154.474, 'train_throughput': 0.0, 'num_weight_syncs': 7280, 'num_samples_dropped': 21, 'learner_queue': {'size_count': 5350, 'size_mean': 0.0, 'size_std': 0.0, 'size_quantiles': [0.0, 0.0, 0.0, 0.0, 0.0]}, 'replay_shard_0': {'add_batch_time_ms': 1.316, 'replay_time_ms': 8.416, 'update_priorities_time_ms': 31.244, 'policy_default_policy': {'added_count': 727640, 'sampled_count': 7712256, 'est_size_bytes': 248125240, 'num_entries': 727640}}, 'learner': {'default_policy': {'mean_q': 3.0242409706115723, 'max_q': 3.436223030090332, 'min_q': 2.9376380443573}}}",372420,"{'episode_reward_max': -585.9759669672181, 'episode_reward_min': -589.9564529757655, 'episode_reward_mean': -588.4796864492195, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.284817336233574, 'mean_processing_ms': 0.12926446319492602, 'mean_inference_ms': 0.7778783693574888}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,2914920,2910,8,fa315ee69f6d4873b46dd07ce7097b63,2019-04-30_21-14-18,1556684058,32.98769211769104,273.55518865585327,57902,perceptron,169.229.222.188,273.55518865585327,2914920,8,16,1.1920630931854248,0.99609375,28854,14773248
-541.8602551829355,-555.3110626804041,-548.3576506062241,1000.0,367,{},{},"{'mean_env_wait_ms': 0.2839989405800934, 'mean_processing_ms': 0.1426530774980882, 'mean_inference_ms': 0.729704822488984}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 0, 'num_reward_updates': 205, 'num_steps_trained': 1405696, 'num_steps_sampled': 3286780, 'sample_throughput': 9769.958, 'train_throughput': 0.0, 'num_weight_syncs': 8208, 'num_samples_dropped': 21, 'learner_queue': {'size_count': 5491, 'size_mean': 0.0, 'size_std': 0.0, 'size_quantiles': [0.0, 0.0, 0.0, 0.0, 0.0]}, 'replay_shard_0': {'add_batch_time_ms': 1.409, 'replay_time_ms': 7.987, 'update_priorities_time_ms': 30.261, 'policy_default_policy': {'added_count': 817860, 'sampled_count': 8590848, 'est_size_bytes': 278890260, 'num_entries': 817860}}, 'learner': {'default_policy': {'mean_q': 3.086724281311035, 'max_q': 3.5405211448669434, 'min_q': 3.005225658416748}}}",371860,"{'episode_reward_max': -585.9759669672181, 'episode_reward_min': -589.9564529757655, 'episode_reward_mean': -588.4796864492195, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.284817336233574, 'mean_processing_ms': 0.12926446319492602, 'mean_inference_ms': 0.7778783693574888}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,3286780,3277,9,fa315ee69f6d4873b46dd07ce7097b63,2019-04-30_21-14-50,1556684090,32.567596197128296,306.12278485298157,57902,perceptron,169.229.222.188,306.12278485298157,3286780,9,16,0.8536291122436523,0.9921875,32587,16684544
-541.6941849183323,-554.8607431577376,-548.2369241497543,1000.0,347,{},{},"{'mean_env_wait_ms': 0.2840542382280959, 'mean_processing_ms': 0.14275826058275262, 'mean_inference_ms': 0.7303335169252788}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 0, 'num_reward_updates': 215, 'num_steps_trained': 1458176, 'num_steps_sampled': 3632320, 'sample_throughput': 12457.35, 'train_throughput': 0.0, 'num_weight_syncs': 9073, 'num_samples_dropped': 21, 'learner_queue': {'size_count': 5696, 'size_mean': 0.02, 'size_std': 0.13999999999999999, 'size_quantiles': [0.0, 0.0, 0.0, 0.0, 1.0]}, 'replay_shard_0': {'add_batch_time_ms': 1.529, 'replay_time_ms': 9.994, 'update_priorities_time_ms': 33.184, 'policy_default_policy': {'added_count': 905960, 'sampled_count': 9386496, 'est_size_bytes': 308932360, 'num_entries': 905960}}, 'learner': {'default_policy': {'mean_q': 3.0184547901153564, 'max_q': 3.446502208709717, 'min_q': 2.9191036224365234}}}",345540,"{'episode_reward_max': -585.9759669672181, 'episode_reward_min': -589.9564529757655, 'episode_reward_mean': -588.4796864492195, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.284817336233574, 'mean_processing_ms': 0.12926446319492602, 'mean_inference_ms': 0.7778783693574888}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,3632320,3624,10,fa315ee69f6d4873b46dd07ce7097b63,2019-04-30_21-15-22,1556684122,32.23640155792236,338.35918641090393,57902,perceptron,169.229.222.188,338.35918641090393,3632320,10,16,0.6148924827575684,0.998046875,36192,18530304
