episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,policy_reward_mean,custom_metrics,sampler_perf,off_policy_estimator,num_metric_batches_dropped,info,timesteps_this_iter,evaluation,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,disc_loss,disc_acc,disc_updates,disc_samples_seen
-168.10287085006485,-457.72569505313004,-301.2253228932784,1000.0,22,{},{},"{'mean_env_wait_ms': 0.22645368025646195, 'mean_processing_ms': 0.11830318921374353, 'mean_inference_ms': 0.692699506477427}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 0, 'num_reward_updates': 0, 'num_steps_trained': 0, 'num_steps_sampled': 22120, 'sample_throughput': 0.0, 'train_throughput': 0.0, 'num_weight_syncs': 55, 'num_samples_dropped': 0, 'replay_shard_0': {'add_batch_time_ms': 1.833, 'replay_time_ms': 2.803, 'update_priorities_time_ms': nan, 'policy_default_policy': {'added_count': 5340, 'sampled_count': 258048, 'est_size_bytes': 1820940, 'num_entries': 5340}}, 'async_time_sample_processing': 0.0, 'async_time_replay_processing': nan, 'async_time_update_priorities': nan}",22120,"{'episode_reward_max': -0.9130232989818842, 'episode_reward_min': -2.4108102441367314, 'episode_reward_mean': -1.4161175988073051, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.21445530675051389, 'mean_processing_ms': 0.09728429222354865, 'mean_inference_ms': 0.6473030093764915}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,22120,22,1,fe76a02b3e2443b0af60d3ad20af8cb8,2019-05-02_16-35-01,1556840101,34.993170499801636,34.993170499801636,10819,perceptron,169.229.222.188,34.993170499801636,22120,1,1,0.18879787623882294,0.9921875,4721,2417152
-144.4840002944941,-457.72569505313004,-298.0175420135029,1000.0,24,{},{},"{'mean_env_wait_ms': 0.23294442439124127, 'mean_processing_ms': 0.12234997744779966, 'mean_inference_ms': 0.706813193359301}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 0, 'num_reward_updates': 0, 'num_steps_trained': 0, 'num_steps_sampled': 46680, 'sample_throughput': 0.0, 'train_throughput': 0.0, 'num_weight_syncs': 116, 'num_samples_dropped': 0, 'replay_shard_0': {'add_batch_time_ms': 1.631, 'replay_time_ms': 3.192, 'update_priorities_time_ms': nan, 'policy_default_policy': {'added_count': 11440, 'sampled_count': 600064, 'est_size_bytes': 3901040, 'num_entries': 11440}}, 'async_time_sample_processing': 0.0, 'async_time_replay_processing': nan, 'async_time_update_priorities': nan}",24560,"{'episode_reward_max': -0.9130232989818842, 'episode_reward_min': -2.4108102441367314, 'episode_reward_mean': -1.4161175988073051, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.21445530675051389, 'mean_processing_ms': 0.09728429222354865, 'mean_inference_ms': 0.6473030093764915}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,46680,46,2,fe76a02b3e2443b0af60d3ad20af8cb8,2019-05-02_16-35-31,1556840131,30.051950216293335,65.04512071609497,10819,perceptron,169.229.222.188,65.04512071609497,46680,2,1,0.20495182275772095,0.982421875,9353,4788736
-144.4840002944941,-486.37255056863825,-295.35347599485164,1000.0,25,{},{},"{'mean_env_wait_ms': 0.237061316189333, 'mean_processing_ms': 0.12497808667794041, 'mean_inference_ms': 0.712301070844181}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 0, 'num_reward_updates': 0, 'num_steps_trained': 0, 'num_steps_sampled': 71340, 'sample_throughput': 4175.514, 'train_throughput': 0.0, 'num_weight_syncs': 178, 'num_samples_dropped': 0, 'replay_shard_0': {'add_batch_time_ms': 1.325, 'replay_time_ms': 2.459, 'update_priorities_time_ms': nan, 'policy_default_policy': {'added_count': 18000, 'sampled_count': 935936, 'est_size_bytes': 6138000, 'num_entries': 18000}}, 'async_time_sample_processing': 0.0, 'async_time_replay_processing': nan, 'async_time_update_priorities': nan}",24660,"{'episode_reward_max': -0.059724195812926165, 'episode_reward_min': -1.833624275557706, 'episode_reward_mean': -0.950832257749463, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.21379536433614388, 'mean_processing_ms': 0.09749452397550125, 'mean_inference_ms': 0.6291009324303103}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,71340,71,3,fe76a02b3e2443b0af60d3ad20af8cb8,2019-05-02_16-36-06,1556840166,34.61187791824341,99.65699863433838,10819,perceptron,169.229.222.188,99.65699863433838,71340,3,1,0.19504863023757935,0.986328125,14607,7478784
-144.4840002944941,-486.37255056863825,-292.06196818830966,1000.0,21,{},{},"{'mean_env_wait_ms': 0.2416969049467836, 'mean_processing_ms': 0.1275691282797763, 'mean_inference_ms': 0.7200360830356888}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 0, 'num_reward_updates': 0, 'num_steps_trained': 0, 'num_steps_sampled': 92900, 'sample_throughput': 0.0, 'train_throughput': 0.0, 'num_weight_syncs': 232, 'num_samples_dropped': 0, 'replay_shard_0': {'add_batch_time_ms': 1.952, 'replay_time_ms': 3.318, 'update_priorities_time_ms': nan, 'policy_default_policy': {'added_count': 23040, 'sampled_count': 1257728, 'est_size_bytes': 7856640, 'num_entries': 23040}}, 'async_time_sample_processing': 0.0, 'async_time_replay_processing': nan, 'async_time_update_priorities': nan}",21560,"{'episode_reward_max': -0.059724195812926165, 'episode_reward_min': -1.833624275557706, 'episode_reward_mean': -0.950832257749463, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.21379536433614388, 'mean_processing_ms': 0.09749452397550125, 'mean_inference_ms': 0.6291009324303103}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,92900,92,4,fe76a02b3e2443b0af60d3ad20af8cb8,2019-05-02_16-36-36,1556840196,30.05345916748047,129.71045780181885,10819,perceptron,169.229.222.188,129.71045780181885,92900,4,1,0.20352861285209656,0.98046875,19634,10052608
-115.01397143064351,-498.2716733029056,-293.2311206275809,1000.0,21,{},{},"{'mean_env_wait_ms': 0.24860770079094685, 'mean_processing_ms': 0.1314831569305615, 'mean_inference_ms': 0.7334401374602788}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 0, 'num_reward_updates': 37, 'num_steps_trained': 319488, 'num_steps_sampled': 113940, 'sample_throughput': 0.0, 'train_throughput': 13921.803, 'num_weight_syncs': 284, 'num_samples_dropped': 0, 'replay_shard_0': {'add_batch_time_ms': 1.077, 'replay_time_ms': 4.031, 'update_priorities_time_ms': 25.632, 'policy_default_policy': {'added_count': 28700, 'sampled_count': 1643008, 'est_size_bytes': 9786700, 'num_entries': 28700}}, 'async_time_sample_processing': 0.0, 'async_time_replay_processing': nan, 'async_time_update_priorities': nan, 'learner': {'default_policy': {'mean_q': 0.26321786642074585, 'max_q': 0.7586625814437866, 'min_q': -0.0729474276304245}}}",21040,"{'episode_reward_max': -595.8016751292575, 'episode_reward_min': -597.5562487998666, 'episode_reward_mean': -596.6521179513011, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.25484538198703466, 'mean_processing_ms': 0.11123227427038071, 'mean_inference_ms': 0.695670248836191}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,113940,113,5,fe76a02b3e2443b0af60d3ad20af8cb8,2019-05-02_16-37-13,1556840233,37.238120317459106,166.94857811927795,10819,perceptron,169.229.222.188,166.94857811927795,113940,5,1,0.18001636862754822,0.990234375,24371,12477952
-115.01397143064351,-515.4452440864619,-287.93836699341267,1000.0,22,{},{},"{'mean_env_wait_ms': 0.2563558551358495, 'mean_processing_ms': 0.1358111872470559, 'mean_inference_ms': 0.7489168376386586}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 0, 'num_reward_updates': 91, 'num_steps_trained': 833536, 'num_steps_sampled': 135440, 'sample_throughput': 0.0, 'train_throughput': 13535.273, 'num_weight_syncs': 338, 'num_samples_dropped': 0, 'replay_shard_0': {'add_batch_time_ms': 1.047, 'replay_time_ms': 6.392, 'update_priorities_time_ms': 21.888, 'policy_default_policy': {'added_count': 33660, 'sampled_count': 2057472, 'est_size_bytes': 11478060, 'num_entries': 33660}}, 'async_time_sample_processing': 0.0, 'async_time_replay_processing': nan, 'async_time_update_priorities': nan, 'learner': {'default_policy': {'mean_q': 1.320960521697998, 'max_q': 10.274964332580566, 'min_q': 0.3426967263221741}}}",21500,"{'episode_reward_max': -595.8016751292575, 'episode_reward_min': -597.5562487998666, 'episode_reward_mean': -596.6521179513011, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.25484538198703466, 'mean_processing_ms': 0.11123227427038071, 'mean_inference_ms': 0.695670248836191}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,135440,135,6,fe76a02b3e2443b0af60d3ad20af8cb8,2019-05-02_16-37-43,1556840263,30.053458213806152,197.0020363330841,10819,perceptron,169.229.222.188,197.0020363330841,135440,6,1,0.18013249337673187,0.9921875,28853,14772736
-115.01397143064351,-515.4452440864619,-287.9172535806992,1000.0,20,{},{},"{'mean_env_wait_ms': 0.26329357632966804, 'mean_processing_ms': 0.13954001385119846, 'mean_inference_ms': 0.763832106628695}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 0, 'num_reward_updates': 140, 'num_steps_trained': 1243136, 'num_steps_sampled': 155080, 'sample_throughput': 0.0, 'train_throughput': 13540.982, 'num_weight_syncs': 387, 'num_samples_dropped': 0, 'replay_shard_0': {'add_batch_time_ms': 1.441, 'replay_time_ms': 7.259, 'update_priorities_time_ms': 24.781, 'policy_default_policy': {'added_count': 38160, 'sampled_count': 2456064, 'est_size_bytes': 13012560, 'num_entries': 38160}}, 'async_time_sample_processing': 0.0, 'async_time_replay_processing': nan, 'async_time_update_priorities': nan, 'learner': {'default_policy': {'mean_q': 2.4198520183563232, 'max_q': 15.052632331848145, 'min_q': 0.2870296835899353}}}",19640,"{'episode_reward_max': -594.2113604241507, 'episode_reward_min': -604.9029151284141, 'episode_reward_mean': -601.2936527554999, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.2822049841547598, 'mean_processing_ms': 0.12031349533677345, 'mean_inference_ms': 0.7397820866492733}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,155080,155,7,fe76a02b3e2443b0af60d3ad20af8cb8,2019-05-02_16-38-21,1556840301,37.464473485946655,234.46650981903076,10819,perceptron,169.229.222.188,234.46650981903076,155080,7,1,0.196683868765831,0.986328125,33470,17136640
-70.49733277251119,-515.4452440864619,-292.1228518160541,1000.0,23,{},{},"{'mean_env_wait_ms': 0.26918183600071205, 'mean_processing_ms': 0.14264345508296059, 'mean_inference_ms': 0.7784204351249673}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 0, 'num_reward_updates': 196, 'num_steps_trained': 1763328, 'num_steps_sampled': 178600, 'sample_throughput': 0.0, 'train_throughput': 14751.577, 'num_weight_syncs': 446, 'num_samples_dropped': 0, 'replay_shard_0': {'add_batch_time_ms': 1.108, 'replay_time_ms': 4.887, 'update_priorities_time_ms': 22.765, 'policy_default_policy': {'added_count': 44540, 'sampled_count': 2873856, 'est_size_bytes': 15188140, 'num_entries': 44540}}, 'async_time_sample_processing': 0.0, 'async_time_replay_processing': nan, 'async_time_update_priorities': nan, 'learner': {'default_policy': {'mean_q': 2.5558834075927734, 'max_q': 19.043607711791992, 'min_q': 0.6557759046554565}}}",23520,"{'episode_reward_max': -594.2113604241507, 'episode_reward_min': -604.9029151284141, 'episode_reward_mean': -601.2936527554999, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.2822049841547598, 'mean_processing_ms': 0.12031349533677345, 'mean_inference_ms': 0.7397820866492733}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,178600,178,8,fe76a02b3e2443b0af60d3ad20af8cb8,2019-05-02_16-38-51,1556840331,30.06498885154724,264.531498670578,10819,perceptron,169.229.222.188,264.531498670578,178600,8,1,0.19463582336902618,0.98828125,37974,19442688
-70.49733277251119,-515.4452440864619,-293.55363171393657,1000.0,26,{},{},"{'mean_env_wait_ms': 0.27110011346128493, 'mean_processing_ms': 0.1436647440398798, 'mean_inference_ms': 0.785401814216676}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 0, 'num_reward_updates': 256, 'num_steps_trained': 2185216, 'num_steps_sampled': 204720, 'sample_throughput': 0.0, 'train_throughput': 13790.403, 'num_weight_syncs': 511, 'num_samples_dropped': 0, 'replay_shard_0': {'add_batch_time_ms': 1.138, 'replay_time_ms': 3.91, 'update_priorities_time_ms': 20.286, 'policy_default_policy': {'added_count': 50280, 'sampled_count': 3266560, 'est_size_bytes': 17145480, 'num_entries': 50280}}, 'async_time_sample_processing': 0.0, 'async_time_replay_processing': nan, 'async_time_update_priorities': nan, 'learner': {'default_policy': {'mean_q': 3.1190133094787598, 'max_q': 21.57838249206543, 'min_q': 0.8725695610046387}}}",26120,"{'episode_reward_max': -599.8514339004796, 'episode_reward_min': -601.1047620544008, 'episode_reward_mean': -600.5558343484599, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.27355054732835404, 'mean_processing_ms': 0.11715366539885683, 'mean_inference_ms': 0.7219771290496168}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,204720,204,9,fe76a02b3e2443b0af60d3ad20af8cb8,2019-05-02_16-39-26,1556840366,34.9265296459198,299.4580283164978,10819,perceptron,169.229.222.188,299.4580283164978,204720,9,1,0.20144344866275787,0.9765625,42454,21736448
-70.49733277251119,-492.27520450028237,-289.1149934897202,1000.0,24,{},{},"{'mean_env_wait_ms': 0.2709529301373243, 'mean_processing_ms': 0.14360551480006412, 'mean_inference_ms': 0.7870862511859196}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 0, 'num_reward_updates': 306, 'num_steps_trained': 2646016, 'num_steps_sampled': 228460, 'sample_throughput': 0.0, 'train_throughput': 15127.563, 'num_weight_syncs': 571, 'num_samples_dropped': 0, 'replay_shard_0': {'add_batch_time_ms': 1.237, 'replay_time_ms': 4.392, 'update_priorities_time_ms': 25.781, 'policy_default_policy': {'added_count': 55880, 'sampled_count': 3672832, 'est_size_bytes': 19055080, 'num_entries': 55880}}, 'async_time_sample_processing': 0.0, 'async_time_replay_processing': nan, 'async_time_update_priorities': nan, 'learner': {'default_policy': {'mean_q': 3.820005416870117, 'max_q': 22.98943328857422, 'min_q': 1.6057878732681274}}}",23740,"{'episode_reward_max': -599.8514339004796, 'episode_reward_min': -601.1047620544008, 'episode_reward_mean': -600.5558343484599, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.27355054732835404, 'mean_processing_ms': 0.11715366539885683, 'mean_inference_ms': 0.7219771290496168}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,228460,228,10,fe76a02b3e2443b0af60d3ad20af8cb8,2019-05-02_16-39-56,1556840396,30.046538591384888,329.5045669078827,10819,perceptron,169.229.222.188,329.5045669078827,228460,10,1,0.19339898228645325,0.990234375,47018,24073216
